Race,Lap,Position,Overtaker,Overtaken,Live,Turn
Bahrain,2,16,Stroll,Norris,,
Bahrain,2,18,Zhou,Latifi,Yes,2
Bahrain,3,5,Perez,Magnussen,Yes,6
Bahrain,3,17,Zhou,Norris,,
Bahrain,4,16,Zhou,Stroll,,
Bahrain,5,6,Russell,Magnussen,Yes,1
Bahrain,5,11,Tsunoda,Albon,,1
Bahrain,5,15,Zhou,Hulkenberg,,
Bahrain,6,13,Bottas,Schumacher,Yes,1
Bahrain,6,19,Ricciardo,Latifi,,
Bahrain,7,14,Zhou,Schumacher,Yes,1
Bahrain,7,19,Latifi,Ricciardo,,
Bahrain,8,9,Ocon,Alonso,,
Bahrain,8,12,Bottas,Albon,Yes,11
Bahrain,10,4,Perez,Hamilton,Yes,1
Bahrain,10,13,Zhou,Albon,Replay,4
Bahrain,10,15,Stroll,Schumacher,,
Bahrain,12,11,Zhou,Hamilton,Yes,2
Bahrain,12,18,Ricciardo,Latifi,,
Bahrain,13,11,Hamilton,Zhou,Yes,1
Bahrain,13,17,Alonso,Ricciardo,,
Bahrain,13,18,Alonso,Latifi,,
Bahrain,14,14,Alonso,Hulkenberg,,
Bahrain,14,15,Alonso,Norris,,
Bahrain,14,19,Schumacher,Albon,Yes,1
Bahrain,15,9,Magnussen,Stroll,Yes,9
Bahrain,15,11,Alonso,Gasly,Yes,4
Bahrain,16,8,Gasly,Alonso,,
Bahrain,16,9,Gasly,Stroll,,
Bahrain,16,9,Alonso,Stroll,,
Bahrain,16,11,Ocon,Hulkenberg,,
Bahrain,16,12,Ocon,Norris,,
Bahrain,16,13,Ocon,Ricciardo,,
Bahrain,16,14,Tsunoda,Ricciardo,,
Bahrain,16,17,Schumacher,Zhou,,
Bahrain,17,1,Verstappen,Leclerc,Yes,1
Bahrain,17,1,Leclerc,Verstappen,Yes,4
Bahrain,17,12,Tsunoda,Hulkenberg,,
Bahrain,17,13,Tsunoda,Norris,,
Bahrain,17,13,Bottas,Norris,,
Bahrain,17,14,Norris,Hulkenberg,,
Bahrain,17,14,Bottas,Hulkenberg,,
Bahrain,17,15,Bottas,Ricciardo,,
Bahrain,17,16,Zhou,Schumacher,,
Bahrain,18,1,Verstappen,Leclerc,Yes,1
Bahrain,18,1,Leclerc,Verstappen,Yes,4
Bahrain,18,15,Zhou,Hulkenberg,,
Bahrain,18,16,Schumacher,Hulkenberg,,
Bahrain,19,1,Verstappen,Leclerc,Yes,1
Bahrain,19,1,Leclerc,Verstappen,Yes,2
Bahrain,19,13,Zhou,Norris,Replay,1
Bahrain,19,14,Schumacher,Norris,Replay,11
Bahrain,21,17,Stroll,Latifi,,
Bahrain,22,15,Albon,Norris,Replay,1
Bahrain,24,16,Stroll,Norris,,
Bahrain,26,14,Alonso,Albon,Yes,11
Bahrain,27,15,Stroll,Albon,,
Bahrain,28,17,Ricciardo,Latifi,Yes,8
Bahrain,30,12,Alonso,Schumacher,Yes,4
Bahrain,30,14,Tsunoda,Stroll,,
Bahrain,31,7,Hamilton,Gasly,Replay,1
Bahrain,32,12,Ocon,Schumacher,,
Bahrain,33,6,Hamilton,Magnussen,Yes,1
Bahrain,33,13,Tsunoda,Schumacher,,
Bahrain,34,17,Norris,Hulkenberg,Yes,4
Bahrain,35,9,Gasly,Magnussen,Yes,4
Bahrain,36,9,Magnussen,Gasly,Yes,4
Bahrain,37,7,Magnussen,Zhou,Yes,1
Bahrain,38,9,Ocon,Alonso,Yes,1
Bahrain,40,10,Tsunoda,Alonso,Yes,1
Bahrain,42,11,Bottas,Alonso,,
Bahrain,42,19,Norris,Hulkenberg,,
Bahrain,43,18,Norris,Latifi,,
Bahrain,51,10,Tsunoda,Schumacher,,4
Bahrain,51,11,Alonso,Schumacher,Yes,11
Bahrain,52,12,Zhou,Schumacher,Replay,11
Bahrain,54,2,Sainz,Verstappen,Yes,11